Fam PID1 PID2 TheoKinship
CO15 21 19 0.25
CO15 24 27 0.25
CO15 25 27 0.125
CO15 20 1 0.25
CO15 4 1 0.25
CO15 3 1 0.25
CO15 17 1 0.125
CO15 6 1 0.25
CO15 24 1 0.125
CO15 10 1 0.25
CO15 12 1 0.25
CO15 8 1 0.25
CO15 23 1 0.125
CO15 25 1 0.1875
CO15 13 1 0.25
CO15 7 1 0.25
CO15 15 1 0.125
CO15 5 1 0.25
CO15 11 1 0.25
CO15 9 1 0.25
CO15 21 1 0.25
CO15 26 1 0.25
CO15 22 1 0.125
CO15 3 20 0.125
CO15 12 20 0.125
CO15 24 20 0.125
CO15 17 20 0.0625
CO15 4 20 0.125
CO15 6 20 0.125
CO15 10 20 0.125
CO15 11 20 0.125
CO15 23 20 0.0625
CO15 8 20 0.125
CO15 22 20 0.0625
CO15 21 20 0.25
CO15 25 20 0.125
CO15 7 20 0.125
CO15 9 20 0.125
CO15 5 20 0.125
CO15 13 20 0.125
CO15 26 20 0.25
CO15 15 20 0.0625
CO15 17 21 0.0625
CO15 6 21 0.125
CO15 22 21 0.0625
CO15 13 21 0.125
CO15 12 21 0.125
CO15 8 21 0.125
CO15 23 21 0.0625
CO15 25 21 0.125
CO15 26 21 0.25
CO15 24 21 0.125
CO15 11 21 0.125
CO15 3 21 0.125
CO15 7 21 0.125
CO15 9 21 0.125
CO15 4 21 0.125
CO15 5 21 0.125
CO15 10 21 0.125
CO15 15 21 0.0625
CO15 7 26 0.125
CO15 9 26 0.125
CO15 13 26 0.125
CO15 4 26 0.125
CO15 3 26 0.125
CO15 25 26 0.1875
CO15 17 26 0.0625
CO15 8 26 0.125
CO15 6 26 0.125
CO15 5 26 0.125
CO15 15 26 0.0625
CO15 24 26 0.25
CO15 12 26 0.125
CO15 22 26 0.0625
CO15 23 26 0.0625
CO15 10 26 0.125
CO15 11 26 0.125
CO15 4 3 0.25
CO15 7 3 0.25
CO15 13 3 0.25
CO15 6 3 0.25
CO15 25 3 0.15625
CO15 5 3 0.25
CO15 10 3 0.25
CO15 8 3 0.25
CO15 24 3 0.0625
CO15 12 3 0.25
CO15 23 3 0.125
CO15 15 3 0.125
CO15 17 3 0.125
CO15 22 3 0.125
CO15 11 3 0.25
CO15 9 3 0.25
CO15 8 4 0.25
CO15 5 4 0.25
CO15 7 4 0.25
CO15 13 4 0.25
CO15 11 4 0.25
CO15 25 4 0.15625
CO15 6 4 0.25
CO15 24 4 0.0625
